"filename", "language", "TypeScript JSX", "TypeScript", "SCSS", "JavaScript", "comment", "blank", "total"
"d:\Codes\unex-ai\ai-chat-to-code\app\services\db\pagesService.ts", "TypeScript", 0, 22, 0, 0, 0, 6, 28
"d:\Codes\unex-ai\ai-chat-to-code\app\services\db\projectsService.ts", "TypeScript", 0, 26, 0, 0, 0, 7, 33
"d:\Codes\unex-ai\ai-chat-to-code\app\services\db\schema.ts", "TypeScript", 0, 127, 0, 0, 0, 9, 136
"d:\Codes\unex-ai\ai-chat-to-code\app\services\db\topicsService.ts", "TypeScript", 0, 26, 0, 0, 0, 7, 33
"d:\Codes\unex-ai\ai-chat-to-code\app\services\db\viewsService.ts", "TypeScript", 0, 25, 0, 0, 2, 8, 35
"d:\Codes\unex-ai\ai-chat-to-code\app\services\dify.ts", "TypeScript", 0, 80, 0, 0, 0, 16, 96
"d:\Codes\unex-ai\ai-chat-to-code\app\services\openai.ts", "TypeScript", 0, 114, 0, 0, 0, 13, 127
"d:\Codes\unex-ai\ai-chat-to-code\app\services\webpack\package-download.ts", "TypeScript", 0, 68, 0, 0, 10, 13, 91
"d:\Codes\unex-ai\ai-chat-to-code\app\services\webpack\template\light.js", "JavaScript", 0, 0, 0, 34, 13, 7, 54
"d:\Codes\unex-ai\ai-chat-to-code\app\store\chatStore.ts", "TypeScript", 0, 65, 0, 0, 7, 16, 88
"d:\Codes\unex-ai\ai-chat-to-code\app\store\codeStore.ts", "TypeScript", 0, 168, 0, 0, 12, 27, 207
"d:\Codes\unex-ai\ai-chat-to-code\app\store\componentStore.ts", "TypeScript", 0, 134, 0, 0, 2, 15, 151
"d:\Codes\unex-ai\ai-chat-to-code\app\store\projectStore.ts", "TypeScript", 0, 82, 0, 0, 2, 15, 99
"d:\Codes\unex-ai\ai-chat-to-code\app\styles\global.scss", "SCSS", 0, 0, 129, 0, 1, 11, 141
"d:\Codes\unex-ai\ai-chat-to-code\app\utils\alioss.ts", "TypeScript", 0, 51, 0, 0, 4, 9, 64
"d:\Codes\unex-ai\ai-chat-to-code\app\utils\request.ts", "TypeScript", 0, 96, 0, 0, 9, 18, 123
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\layout.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 4, 57
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\library\components\ComponentCard.tsx", "TypeScript JSX", 130, 0, 0, 0, 0, 5, 135
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\library\components\ComponentEditor.tsx", "TypeScript JSX", 96, 0, 0, 0, 5, 14, 115
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\library\components\ComponentEditorTabs.tsx", "TypeScript JSX", 219, 0, 0, 0, 0, 17, 236
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\library\data\mockComponents.ts", "TypeScript", 0, 115, 0, 0, 0, 2, 117
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\library\hooks\useComponents.ts", "TypeScript", 0, 52, 0, 0, 1, 5, 58
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\library\page.tsx", "TypeScript JSX", 80, 0, 0, 0, 0, 10, 90
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\component-dialog.tsx", "TypeScript JSX", 29, 0, 0, 0, 1, 6, 36
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\component-item.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 5, 21
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\components\sidebar.tsx", "TypeScript JSX", 62, 0, 0, 0, 0, 8, 70
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\edit-page-dialog.tsx", "TypeScript JSX", 50, 0, 0, 0, 1, 7, 58
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\page-column.tsx", "TypeScript JSX", 140, 0, 0, 0, 2, 11, 153
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\page.tsx", "TypeScript JSX", 87, 0, 0, 0, 4, 14, 105
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page-manage\types.ts", "TypeScript", 0, 10, 0, 0, 0, 3, 13
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 2, 6
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\projects\components\ProjectCard.tsx", "TypeScript JSX", 253, 0, 0, 0, 0, 14, 267
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\projects\hooks\useProjects.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\projects\page.tsx", "TypeScript JSX", 90, 0, 0, 0, 0, 8, 98
"d:\Codes\unex-ai\ai-chat-to-code\app\workspace\projects\types\project.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 15
"Total", "-", 5623, 2273, 652, 34, 144, 1125, 9851
